Mem usage,CPU%
29685186,0.0
29685186,0.0
29685186,0.0
29685186,0.0
29685186,0.0
29685186,0.0
29685186,0.0
29685186,0.0
29685186,0.0
29685186,0.0
43515904,6.89
43515904,6.89
63344476,32.68
63344476,32.68
75665244,38.09
75665244,38.09
66678947,64.47
66678947,64.47
66678947,86.42
66678947,86.42
66678947,83.11
66678947,83.11
66699919,88.3
66699919,88.3
66710405,79.19
66710405,79.19
66699919,85.73
66699919,85.73
66731376,82.24
66731376,82.24
66846720,84.82
66846720,84.82
66846720,80.17
66846720,80.17
66836234,82.28
66836234,82.28
66846720,85.45
66846720,85.45
66846720,83.28
66846720,83.28
66846720,87.25
66846720,87.25
66867691,86.28
66867691,86.28
67129835,80.55
67129835,80.55
67119349,80.96
67119349,80.96
66857205,86.86
66857205,86.86
67108864,74.16
67108864,74.16
67108864,78.55
67108864,78.55
67391979,84.42
67391979,84.42
67140321,81.24
67140321,81.24
67129835,82.42
67129835,82.42
67391979,81.25
67391979,81.25
67140321,82.93
67140321,82.93
67150807,85.47
67150807,85.47
67150807,80.25
67150807,80.25
67150807,82.08
67150807,82.08
67035463,83.13
67035463,83.13
79817605,35.15
79817605,35.15
77856768,1.08
77856768,1.08
77856768,0.0
77856768,0.0
77856768,0.0
77856768,0.0
77856768,0.0
77856768,0.0
77856768,0.0
77856768,0.0
77856768,0.0
77856768,0.0
77856768,0.0
77856768,0.0
77856768,0.0
77856768,0.0
77856768,0.0
77856768,0.0
