Mem usage,CPU%
41890611,0.01
41890611,0.01
41890611,0.17
41890611,0.17
41890611,0.15
41890611,0.15
41890611,0.15
41890611,0.15
41890611,0.15
41890611,0.15
48454696,31.82
48454696,31.82
48821698,73.82
48821698,73.82
48895098,64.91
48895098,64.91
48842670,69.71
48842670,69.71
48842670,70.23
48842670,70.23
48863641,68.26
48863641,68.26
48832184,73.96
48832184,73.96
48842670,73.62
48842670,73.62
48926556,77.95
48926556,77.95
48842670,76.0
48842670,76.0
48905584,62.61
48905584,62.61
48853155,70.3
48853155,70.3
48874127,77.36
48874127,77.36
48863641,73.44
48863641,73.44
48863641,68.0
48863641,68.0
49041899,72.31
49041899,72.31
48926556,74.2
48926556,74.2
48905584,65.87
48905584,65.87
48905584,65.86
48905584,65.86
48947527,68.93
48947527,68.93
48916070,60.46
48916070,60.46
48926556,62.8
48926556,62.8
48958013,67.95
48958013,67.95
48958013,74.82
48958013,74.82
48937041,70.87
48937041,70.87
48905584,71.66
48905584,71.66
49073356,63.31
49073356,63.31
48926556,70.92
48926556,70.92
48968499,62.73
48968499,62.73
48947527,68.67
48947527,68.67
48853155,41.13
48853155,41.13
48853155,0.15
48853155,0.15
48853155,0.16
48853155,0.16
48853155,0.16
48853155,0.16
48853155,0.16
48853155,0.16
48853155,0.16
48853155,0.16
48853155,0.16
48853155,0.16
48853155,0.16
48853155,0.16
48853155,0.16
48853155,0.16
48853155,0.16
48853155,0.16
